No.,Timestamp,SIDE,ENTRY,Take Profit,Stop Loss,R/R Ratio,Volatility Level,Outcome,Outcome %,Leverage,Margin,Session,TP Mode,ATR %,Setup Type,MAE,MFE,Exit Trade,Trend Regime,RSI at Entry,Relative Volume,Trend Slope,Exit Reason,Duration,Market Trend,Confidence Score
1,2025-05-16 08:24:52 UTC,LONG,103188.0,104736.0,102465.7,2.14,Weak,SUCCESS,7.5,5x,100.0,Asia,FIXED,0.13,RSI Dip,0.54,1.61,2025-05-18 14:03:17 UTC,TRENDING,0.0,0.0,-0.0010086135617501,TP HIT (wick),53.64,Bullish,0.0
2,2025-05-18 18:08:52 UTC,LONG,104250.0,105814.0,103520.2,2.14,Moderate,STOP LOSS,-3.5,5x,100.0,US,FIXED,0.26,RSI Dip,0.89,0.55,2025-05-18 20:03:18 UTC,TRENDING,23.84,0.41,-0.0027,SL HIT (wick),1.91,Bearish,0.5
3,2025-05-18 20:07:04 UTC,LONG,103717.3,105273.0,102991.3,2.14,Moderate,SUCCESS,7.5,5x,100.0,US,FIXED,0.25,RSI Dip,0.13,1.69,2025-05-18 22:33:18 UTC,TRENDING,29.99,0.08,-0.0014,TP HIT (wick),2.44,Bullish,0.4
4,2025-05-19 03:46:22 UTC,LONG,103782.4,105339.0,103055.9,2.14,Moderate,STOP LOSS,-3.5,5x,100.0,Asia,FIXED,0.2,RSI Dip,0.82,0.22,2025-05-19 04:08:18 UTC,TRENDING,26.16,0.24,-0.0012,SL HIT (wick),0.37,Bearish,0.5
5,2025-05-19 04:06:57 UTC,LONG,103098.0,104644.0,102376.3,2.14,Moderate,STOP LOSS,-3.5,5x,100.0,Asia,FIXED,0.24,RSI Dip,0.71,0.7,2025-05-19 06:33:18 UTC,TRENDING,19.13,0.74,-0.0017,SL HIT (wick),2.44,Bearish,0.8
6,2025-05-19 12:40:31 UTC,LONG,102193.9,103727.0,101478.5,2.14,Moderate,SUCCESS,7.5,5x,100.0,EU,FIXED,0.14,RSI Dip,0.09,4.88,2025-05-19 14:18:19 UTC,TRENDING,26.9,0.04,-0.0013,TP HIT (wick),1.63,Bullish,0.5
7,2025-05-20 07:43:36 UTC,LONG,105160.0,106737.0,104423.9,2.14,Moderate,STOP LOSS,-3.5,5x,100.0,Asia,FIXED,0.15,RSI Dip,0.82,0.29,2025-05-20 13:38:37 UTC,TRENDING,29.47,0.63,-0.0012,SL HIT (wick),5.92,Bearish,0.7
8,2025-05-20 13:45:29 UTC,LONG,104258.2,105822.0,103528.4,2.14,Weak,SUCCESS,7.5,5x,100.0,EU,FIXED,0.13,RSI Dip,0.02,1.79,2025-05-20 17:13:37 UTC,TRENDING,23.19,0.01,-0.0011,TP HIT (wick),3.47,Bullish,0.5
9,2025-05-21 07:41:16 UTC,LONG,106602.6,108202.0,105856.4,2.14,Moderate,SUCCESS,7.5,5x,100.0,Asia,FIXED,0.23,RSI Dip,0.44,1.84,2025-05-21 14:53:40 UTC,TRENDING,29.72,0.17,-0.001,TP HIT (wick),7.21,Bullish,0.4
10,2025-05-21 17:31:10 UTC,LONG,106818.0,108420.0,106070.3,2.14,Strong,SUCCESS,7.5,5x,100.0,US,FIXED,0.42,RSI Dip,0.58,1.57,2025-05-21 19:43:41 UTC,TRENDING,24.95,1.02,-0.0058,TP HIT (wick),2.21,Bullish,0.8
11,2025-05-23 11:45:59 UTC,LONG,110362.4,112018.0,109589.9,2.14,Moderate,STOP LOSS,-3.5,5x,100.0,EU,FIXED,0.17,RSI Dip,3.83,1.54,2025-05-23 11:53:46 UTC,TRENDING,27.26,0.77,-0.0014,SL HIT (wick),0.13,Bearish,0.7
12,2025-05-23 11:51:14 UTC,LONG,109883.6,111532.0,109114.4,2.14,Moderate,STOP LOSS,-3.5,5x,100.0,EU,FIXED,0.21,RSI Dip,3.41,1.98,2025-05-23 11:58:48 UTC,TRENDING,24.2,0.83,-0.0028,SL HIT (wick),0.13,Bearish,0.8
13,2025-05-23 11:58:31 UTC,LONG,109152.1,110789.0,108388.0,2.14,Moderate,STOP LOSS,-3.5,5x,100.0,EU,FIXED,0.26,RSI Dip,2.77,2.66,2025-05-23 12:13:47 UTC,TRENDING,13.65,2.18,-0.0039,SL HIT (wick),0.25,Bearish,1.0
14,2025-05-23 12:12:57 UTC,LONG,108230.6,109854.0,107473.0,2.14,Strong,STOP LOSS,-3.5,5x,100.0,EU,FIXED,0.33,RSI Dip,0.83,0.01,2025-05-23 12:18:49 UTC,TRENDING,11.67,0.9,-0.0028,SL HIT (wick),0.1,Bearish,0.8
15,2025-05-23 12:17:11 UTC,LONG,107404.1,109015.0,106652.3,2.14,Strong,SUCCESS,7.5,5x,100.0,EU,FIXED,0.38,RSI Dip,1.12,4.34,2025-05-23 13:33:47 UTC,TRENDING,8.88,1.5,-0.0036,TP HIT (wick),1.28,Bearish,0.8
16,2025-05-23 16:21:07 UTC,LONG,108178.8,109801.0,107421.5,2.14,Strong,SUCCESS,7.5,5x,100.0,EU,FIXED,0.31,RSI Dip,1.83,3.59,2025-05-23 17:23:47 UTC,TRENDING,29.16,0.32,-0.0019,TP HIT (wick),1.04,Bearish,0.4
