No.,Timestamp,SIDE,ENTRY,Take Profit,Stop Loss,R/R Ratio,Volatility Level,Outcome,Outcome %,Leverage,Margin,Session,TP Mode,ATR %,Setup Type,MAE,MFE,Exit Trade,Trend Regime
1,2025-03-28 16:14:01,LONG,84335.39,85600.4,83745.0,2.14,Weak,STOP LOSS,-3.5,5x,50.0,EU,,,,0.87,0.33,2025-03-28 18:16:42,Bearish
2,2025-03-29 04:59:41,LONG,83824.69,85082.1,83237.9,2.14,Weak,STOP LOSS,-3.5,5x,50.0,Asia,FIXED,0.13,RSI Dip,0.68,0.49,2025-03-29 11:44:51,Bearish
3,2025-03-29 11:46:12,LONG,83382.65,84633.4,82799.0,2.14,Weak,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.13,RSI Dip,0.72,0.28,2025-03-29 12:56:42,Bearish
4,2025-03-29 12:57:31,LONG,82860.7,84103.6,82280.7,2.14,Weak,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.17,RSI Dip,0.94,0.26,2025-03-29 13:31:37,Bearish
5,2025-03-29 13:34:36,LONG,82264.66,83498.6,81688.8,2.14,Weak,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.23,RSI Dip,0.8,0.72,2025-03-29 19:15:23,Bearish
6,2025-03-29 19:16:37,LONG,81711.11,82936.8,81139.1,2.14,Weak,SUCCESS,7.5,5x,50.0,US,FIXED,0.17,RSI Dip,0.08,1.51,2025-03-30 04:04:29,Bearish
7,2025-03-30 16:33:07,LONG,82665.88,83905.9,82087.2,2.14,Weak,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.15,RSI Dip,0.77,0.46,2025-03-30 20:06:07,Bearish
8,2025-03-30 20:06:57,LONG,82075.49,83306.6,81501.0,2.14,Weak,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.17,RSI Dip,0.9,0.96,2025-03-31 03:41:12,Bearish
9,2025-03-31 03:42:02,LONG,81428.81,82650.2,80858.8,2.14,Weak,SUCCESS,7.5,5x,50.0,Asia,FIXED,0.24,RSI Dip,0.2,2.11,2025-03-31 15:50:32,Bearish
10,2025-03-31 22:52:35,LONG,82427.26,83663.7,81850.3,2.14,Weak,SUCCESS,7.5,5x,50.0,US,FIXED,0.23,RSI Dip,0.23,2.55,2025-03-31 11:07:57,Bearish
11,2025-04-01 17:08:21,LONG,83183.34,84431.1,82601.1,2.14,Weak,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.26,RSI Dip,0.83,0.0,2025-04-01 17:20:51,Bearish
12,2025-04-01 17:21:48,LONG,82601.53,83840.6,82023.3,2.14,Weak,SUCCESS,7.5,5x,50.0,EU,FIXED,0.29,RSI Dip,0.0,2.33,2025-04-01 18:02:42,Bearish
13,2025-04-02 08:28:45,LONG,84247.89,85511.6,83658.2,2.14,Weak,SUCCESS,7.5,5x,50.0,Asia,FIXED,0.13,RSI Dip,0.4,2.21,2025-04-02 16:50:07,Bearish
14,2025-04-03 01:13:13,LONG,83582.74,84836.5,82997.7,2.14,Moderate,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.58,RSI Dip,0.81,0.09,2025-04-03 01:42:38,Bearish
15,2025-04-03 02:13:51,LONG,82607.19,83846.3,82028.9,2.14,Weak,SUCCESS,7.5,5x,50.0,US,FIXED,0.47,RSI Dip,0.57,1.63,2025-04-03 04:52:38,Bearish
16,2025-04-03 15:29:30,LONG,82533.1,83771.1,81955.4,2.14,Weak,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.19,RSI Dip,0.86,0.18,2025-04-03 16:02:38,Bearish
17,2025-04-03 15:48:22,LONG,81932.56,83161.5,81359.0,2.14,Weak,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.23,RSI Dip,0.75,1.01,2025-04-03 17:51:10,Bearish
18,2025-04-04 13:22:22,LONG,83262.77,84511.7,82679.9,2.14,Weak,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.27,RSI Dip,1.04,0.0,2025-04-04 13:52:41,Bearish
19,2025-04-04 13:54:45,LONG,82451.41,83688.2,81874.3,2.14,Weak,STOP LOSS,-3.5,5x,50.0,EU,FIXED,0.34,RSI Dip,0.98,0.9,2025-04-04 14:27:53,Bearish
20,2025-04-04 14:34:54,LONG,81994.27,83224.2,81420.3,2.14,Weak,SUCCESS,7.5,5x,50.0,EU,FIXED,0.38,RSI Dip,0.12,1.5,2025-04-04 15:30:07,Bearish
