00-USDC	00 Token	USDC
1INCH-USDC	1inch	USDC
A8-USDC	Ancient8	USDC
AAVE-USDC	Aave	USDC
ABT-USDC	Arcblock	USDC
ACH-USDC	Alchemy Pay	USDC
ACS-USDC	Access	USDC
ACX-USDC	Across Protocol	USDC
ADA-USDC	Cardano	USDC
AERGO-USDC	Aergo	USDC
AERO-USDC	Aerodrome Finance	USDC
AGLD-USDC	Adventure Gold	USDC
AIOZ-USDC	AIOZ Network	USDC
AKT-USDC	Akash Network	USDC
ALCX-USDC	Alchemix	USDC
ALEO-USDC	Aleo	USDC
ALEPH-USDC	Aleph Cloud	USDC
ALGO-USDC	Algorand	USDC
ALICE-USDC	MyNeighborAlice	USDC
ALT-USDC	Altlayer	USDC
AMP-USDC	Amp	USDC
ANKR-USDC	Ankr	USDC
APE-USDC	ApeCoin	USDC
API3-USDC	Api3	USDC
APT-USDC	Aptos	USDC
ARB-USDC	Arbitrum	USDC
ARKM-USDC	Arkham	USDC
ARPA-USDC	ARPA Chain	USDC
ASM-USDC	Assemble AI	USDC
AST-USDC	AirSwap	USDC
ATH-USDC	Aethir	USDC
ATOM-USDC	Cosmos	USDC
AUCTION-USDC	Bounce Token	USDC
AUDIO-USDC	Audius	USDC
AURORA-USDC	Aurora	USDC
AVAX-USDC	Avalanche	USDC
AVNT-USDC	Avantis	USDC
AVT-USDC	Aventus	USDC
AWE-USDC	Awe	USDC
AXL-USDC	Axelar	USDC
AXS-USDC	Axie Infinity	USDC
B3-USDC	B3 (Base)	USDC
BADGER-USDC	Badger DAO	USDC
BAL-USDC	Balancer	USDC
BAND-USDC	Band Protocol	USDC
BAT-USDC	Basic Attention Token	USDC
BCH-USDC	Bitcoin Cash	USDC
BERA-USDC	Berachain	USDC
BICO-USDC	BICONOMY (BICO)	USDC
BIGTIME-USDC	Big Time	USDC
BIO-USDC	Bio Protocol	USDC
BLAST-USDC	Blast	USDC
BLUR-USDC	Blur	USDC
BLZ-USDC	Bluzelle	USDC
BNKR-USDC	BankrCoin	USDC
BNT-USDC	Bancor Network Token	USDC
BOBA-USDC	Boba Network	USDC
BONK-USDC	Bonk	USDC
BTC-USDC	Bitcoin	USDC
BTRST-USDC	Braintrust	USDC
C98-USDC	Coin98	USDC
CAKE-USDC	PancakeSwap	USDC
CBETH-USDC	Coinbase Wrapped Staked ETH	USDC
CELR-USDC	Celer Network	USDC
CGLD-USDC	Celo	USDC
CHZ-USDC	Chiliz	USDC
CLANKER-USDC	tokenbot	USDC
CLV-USDC	Clover Finance	USDC
COMP-USDC	Compound	USDC
COOKIE-USDC	Cookie DAO	USDC
CORECHAIN-USDC	Core	USDC
COSMOSDYDX-USDC	DYDX	USDC
COTI-USDC	COTI	USDC
COW-USDC	CoW Protocol	USDC
CRO-USDC	Cronos	USDC
CRV-USDC	Curve DAO Token	USDC
CTSI-USDC	Cartesi	USDC
CTX-USDC	Cryptex Finance	USDC
CVC-USDC	Civic	USDC
CVX-USDC	Convex Finance	USDC
DAI-USDC	Dai	USDC
DASH-USDC	Dash	USDC
DEGEN-USDC	Degen	USDC
DEXT-USDC	DEXTools	USDC
DIA-USDC	DIA	USDC
DIMO-USDC	DIMO	USDC
DNT-USDC	district0x	USDC
DOGE-USDC	Dogecoin	USDC
DOGINME-USDC	doginme	USDC
DOLO-USDC	Dolomite	USDC
DOT-USDC	Polkadot	USDC
DRIFT-USDC	Drift Protocol	USDC
EDGE-USDC	Definitive	USDC
EGLD-USDC	MultiversX	USDC
EIGEN-USDC	EigenLayer	USDC
ELA-USDC	Elastos	USDC
ENA-USDC	Ethena	USDC
ENS-USDC	Ethereum Name Service	USDC
EOS-USDC	EOS	USDC
ERA-USDC	Caldera	USDC
ETC-USDC	Ethereum Classic	USDC
ETH-USDC	Ethereum	USDC
ETHFI-USDC	ether.fi	USDC
EUL-USDC	Euler	USDC
EURC-USDC	EURC	USDC
FAI-USDC	Freysa	USDC
FARM-USDC	Harvest Finance	USDC
FARTCOIN-USDC	Fartcoin	USDC
FET-USDC	Artificial Superintelligence Alliance	USDC
FIDA-USDC	Bonfida	USDC
FIL-USDC	Filecoin	USDC
FIS-USDC	StaFi	USDC
FLOCK-USDC	Flock	USDC
FLOKI-USDC	FLOKI	USDC
FLOW-USDC	Flow	USDC
FLR-USDC	Flare	USDC
FORT-USDC	Forta	USDC
FORTH-USDC	Ampleforth Governance Token	USDC
FOX-USDC	Shapeshift FOX Token	USDC
G-USDC	Gravity	USDC
GFI-USDC	Goldfinch Protocol	USDC
GHST-USDC	Aavegotchi	USDC
GIGA-USDC	Gigachad	USDC
GLM-USDC	Golem	USDC
GMT-USDC	STEPN	USDC
GNO-USDC	Gnosis	USDC
GODS-USDC	Gods Unchained	USDC
GRT-USDC	The Graph	USDC
GST-USDC	Green Satoshi Token	USDC
GTC-USDC	Gitcoin	USDC
HBAR-USDC	Hedera	USDC
HFT-USDC	Hashflow	USDC
HIGH-USDC	Highstreet	USDC
HNT-USDC	Helium	USDC
HOME-USDC	HOME	USDC
HONEY-USDC	Hivemapper	USDC
HOPR-USDC	HOPR	USDC
ICP-USDC	Internet Computer	USDC
IDEX-USDC	IDEX	USDC
ILV-USDC	Illuvium	USDC
IMX-USDC	Immutable	USDC
INDEX-USDC	Index Cooperative	USDC
INJ-USDC	Injective	USDC
INV-USDC	Inverse Finance	USDC
IO-USDC	io.net	USDC
IOTX-USDC	IoTeX	USDC
IP-USDC	Story	USDC
JASMY-USDC	Jasmy	USDC
JITOSOL-USDC	Jito Staked SOL	USDC
JTO-USDC	Jito	USDC
KAITO-USDC	Kaito	USDC
KARRAT-USDC	Karrat	USDC
KAVA-USDC	Kava	USDC
KERNEL-USDC	KernelDAO	USDC
KEYCAT-USDC	Keyboard Cat	USDC
KMNO-USDC	Kamino	USDC
KNC-USDC	Kyber Network	USDC
KRL-USDC	Kryll	USDC
KSM-USDC	Kusama	USDC
