Timestamp,Product,Side,Entry Price,Target Price,Stop Loss,Probability,R/R Ratio,Market Regime,Status,Outcome %
2025-03-06 18:26:50,BTC-USDC,SELL,90179.34,88375.75,91649.63,70.0,1.23,Bearish,SUCCESS,17.6
2025-03-06 19:20:28,BTC-USDC,SELL,88641.44,86510.00,91776.80,75.0,1.41,Bearish,SUCCESS,24.05
2025-03-10 00:11:00,BTC-USDC,SELL,81570.81,77492.27,83625.40,79.0,1.99,Bearish,STOP LOSS,-25.19
2025-03-11 02:34:38,BTC-USDC,SELL,76981.85,73132.76,79961.82,80.0,1.29,Bearish,STOP LOSS,-38.71
2025-03-11 17:49:59,BTC-USDC,BUY,81126.87,83136.59,77619.85,70.0,1.19,Bullish,SUCCESS,24.77
2025-03-13 22:31:41,BTC-USDC,SELL,80620.00,79008.00,81963.00,80.0,1.20,Bearish,STOP LOSS,-14.66
2025-03-14 10:51:56,BTC-USDC,SELL,82537.44,79890.00,83300.00,71.0,3.00,Bearish,STOP LOSS,-9.24
2025-03-14 18:13:15,BTC-USDC,SELL,84551.63,83952.53,85828.22,85.0,3.39,Bearish,SUCCESS,6.24
2025-03-17 00:30:17,BTC-USDC,SELL,82340.27,82147.00,85380.45,71.0,1.35,Bearish,SUCCESS,50.00
2025-03-20 18:26:12,BTC-USDC,SELL,84309.09,83466.00,84927.13,79.0,1.36,Bearish,SUCCESS,10.00
2025-03-21 18:08:15,BTC-USDC,SELL,83461.76,81792.52,84980.69,69.0,1.10,Bearish,STOP LOSS,-16.02
2025-03-24 02:41:23,BTC-USDC,SELL,86362.09,85498.47,86907.65,70.0,1.58,Breakout,STOP LOSS,-6.32
2025-03-24 20:46:01,BTC-USDC,SELL,88498.08,86728.12,89383.06,74.0,2.00,Bearish,SUCCESS,20.00
