trade_id,symbol,product_id,position_side,entry_price,stop_loss,take_profit,position_usd,leverage,opened_at,expires_at,status,last_price,last_price_at,unrealized_pnl,unrealized_pct,finder_score,finder_rank,recommended_position_pct,tag,notes
edc4c81161,ADA,ADA-PERP-INTX,SHORT,0.366,0.377712,0.348432,250.0,50.0,2025-12-28T18:24:58Z,2025-12-29T18:24:58Z,OPEN,0.3754,2025-12-29T09:02:08Z,-6.42,-2.5683,0.0,5,5.0,,
6eaf6aea27,ARB,ARB-PERP-INTX,LONG,0.1947,0.18847,0.204046,250.0,50.0,2025-12-28T18:33:39Z,2025-12-29T18:33:39Z,OPEN,0.1953,2025-12-29T09:02:08Z,0.77,0.3082,0.0,1,5.0,,
d3b9b9bb80,DOGE,DOGE-PERP-INTX,SHORT,0.12655,0.1306,0.120476,250.0,50.0,2025-12-29T07:22:05Z,2025-12-30T07:22:05Z,OPEN,0.12641,2025-12-29T09:02:08Z,0.28,0.1106,0.0,7,5.0,,
7ccf38819d,ETC,ETC-PERP-INTX,SHORT,12.14,12.528,11.557,250.0,50.0,2025-12-28T18:24:58Z,2025-12-29T18:24:58Z,OPEN,12.259,2025-12-29T09:02:08Z,-2.45,-0.9802,0.0,3,5.0,,
a30e7f72ac,FET,FET-PERP-INTX,LONG,0.2179,0.210927,0.228359,250.0,50.0,2025-12-29T07:22:05Z,2025-12-30T07:22:05Z,OPEN,0.2175,2025-12-29T09:02:08Z,-0.46,-0.1836,0.0,3,5.0,,
3d8eed35cf,INJ,INJ-PERP-INTX,LONG,4.785,4.6319,5.0147,250.0,50.0,2025-12-29T07:22:05Z,2025-12-30T07:22:05Z,OPEN,4.784,2025-12-29T09:02:08Z,-0.05,-0.0209,0.0,4,5.0,,
b75d5a9319,LTC,LTC-PERP-INTX,LONG,78.68,76.192,82.412,250.0,50.0,2025-12-28T18:24:58Z,2025-12-29T18:24:58Z,OPEN,78.74,2025-12-29T09:02:08Z,0.19,0.0763,0.0,1,5.0,,
8a993d9204,SOL,SOL-PERP-INTX,LONG,127.43,123.352,133.547,250.0,50.0,2025-12-29T07:22:05Z,2025-12-30T07:22:05Z,OPEN,127.618,2025-12-29T09:02:08Z,0.37,0.1475,0.0,6,5.0,,
582315a116,SUI,SUI-PERP-INTX,LONG,1.4881,1.4405,1.5595,250.0,50.0,2025-12-29T07:22:05Z,2025-12-30T07:22:05Z,OPEN,1.4821,2025-12-29T09:02:08Z,-1.01,-0.4032,0.0,5,5.0,,
22b9eae5ce,WLD,WLD-PERP-INTX,SHORT,0.5115,0.527868,0.486948,250.0,50.0,2025-12-29T07:22:05Z,2025-12-30T07:22:05Z,OPEN,0.5131,2025-12-29T09:02:08Z,-0.78,-0.3128,0.0,1,5.0,,
5f59e1bf01,ZRO,ZRO-PERP-INTX,SHORT,1.278,1.3189,1.2167,250.0,50.0,2025-12-29T07:22:05Z,2025-12-30T07:22:05Z,OPEN,1.286,2025-12-29T09:02:08Z,-1.56,-0.626,0.0,2,5.0,,
