closed_at,product_id,position_side,net_size,leverage,opened_at,closure_reason,entry_price,exit_price,profit_loss,profit_loss_pct,mae,mfe,duration_seconds
2025-08-19T15:00:00Z,BTC-PERP-INTX,LONG,0.0432,,2025-08-18T15:40:53Z,expired,115819.1,113800.3,-87.21,-1.7431,-2.37,1.07,83947
2025-08-19T23:00:00Z,BTC-PERP-INTX,LONG,0.0435,,2025-08-19T06:47:26Z,stop_loss,115019.9,112736.69,-99.32,-1.9851,-2.13,0.79,58354
2025-08-20T15:00:00Z,BTC-PERP-INTX,SHORT,-0.0439,,2025-08-19T15:04:34Z,expired,113869.9,113362,22.3,0.446,-0.55,1.32,86126
2025-08-21T18:00:00Z,BTC-PERP-INTX,LONG,0.0438,,2025-08-20T18:00:14Z,expired,114254.9,112608.5,-72.11,-1.441,-1.98,0.52,86386
2025-08-22T14:00:00Z,BTC-PERP-INTX,SHORT,-0.0445,,2025-08-21T17:03:13Z,stop_loss,112436.9,114776.49,-104.11,-2.0808,-4.47,0.68,75407
2025-08-24T19:00:00Z,BTC-PERP-INTX,LONG,0.0436,,2025-08-24T10:36:43Z,stop_loss,114670,112270,-104.64,-2.093,-3.64,0.27,30197
2025-08-25T20:00:00Z,BTC-PERP-INTX,LONG,0.0446,,2025-08-25T15:58:03Z,stop_loss,112180,109780,-107.04,-2.1394,-3.13,0.71,14517
2025-08-26T00:00:00Z,BTC-PERP-INTX,SHORT,-0.0444,,2025-08-25T16:43:24Z,take_profit,112725,109125,159.84,3.1936,-0.22,3.6,26196
2025-08-25T20:00:00Z,BTC-PERP-INTX,LONG,0.0444,,2025-08-25T17:08:44Z,stop_loss,112538,110138,-106.56,-2.1326,-3.44,0.27,10276
2025-08-28T18:00:00Z,BTC-PERP-INTX,SHORT,-0.0444,,2025-08-27T18:30:31Z,expired,112506,112408.8,4.32,0.0864,-0.91,1.45,84569
2025-08-29T07:00:00Z,BTC-PERP-INTX,LONG,0.0442,,2025-08-28T07:27:42Z,stop_loss,113200,110800,-106.08,-2.1201,-3.34,0.29,84738
2025-09-09T08:00:00Z,POL-PERP-INTX,SHORT,-3605,,2025-09-08T08:30:12Z,expired,0.277733,0.2815,-13.58,-1.3563,-1.54,2.93,84588
2025-09-14T11:00:00Z,LINK-PERP-INTX,SHORT,-39.56,,2025-09-13T11:50:09Z,expired,25.276404,24.384,35.3,3.5306,-0.63,4.91,83391
2025-09-14T21:00:00Z,LINK-PERP-INTX,SHORT,-40.2,,2025-09-13T21:41:34Z,expired,24.864724,24.315,22.1,2.2109,-0.73,4.05,83906
2025-09-14T23:00:00Z,MANTLE-PERP-INTX,SHORT,-643,,2025-09-14T16:30:32Z,stop_loss,1.576588,1.6270388,-32.44,-3.2,-8.22,0.55,23368
2025-09-14T23:00:00Z,MANTLE-PERP-INTX,SHORT,-633,,2025-09-14T16:34:31Z,stop_loss,1.570375,1.620627,-31.81,-3.2,-8.65,0.16,23129
2025-09-14T23:00:00Z,MANTLE-PERP-INTX,SHORT,-634,,2025-09-14T16:40:21Z,stop_loss,1.569252,1.6194681,-31.84,-3.2,-8.73,0.08,22779
2025-09-08T16:00:00Z,EURC-PERP-INTX,SHORT,-3413,,2025-09-07T16:04:35Z,expired,1.172,1.1741,-7.17,-0.1792,-0.33,0.1,86125
2025-09-15T15:00:00Z,PAXG-PERP-INTX,SHORT,-0.2735,,2025-09-14T17:33:50Z,stop_loss,3656.1947,3682.8185,-7.28,-0.7282,-0.98,0.56,77170
2025-09-16T15:00:00Z,SOL-PERP-INTX,SHORT,-4.299,,2025-09-15T15:16:52Z,expired,232.70333,237.901,-22.34,-2.2336,-3.6,1.08,85388
2025-09-17T09:00:00Z,SOL-PERP-INTX,SHORT,-4.24,,2025-09-16T09:15:03Z,expired,235.822,235.286,2.27,0.2273,-2.23,1.89,85497
2025-09-17T11:00:00Z,SOL-PERP-INTX,SHORT,-4.241,,2025-09-16T11:28:15Z,expired,235.76782,234.247,6.45,0.6451,-2.25,1.87,84705
2025-09-17T13:00:00Z,SOL-PERP-INTX,SHORT,-4.245,,2025-09-16T13:27:25Z,expired,235.54771,235.56,-0.05,-0.0052,-2.35,1.78,84755
2025-09-17T15:00:00Z,SOL-PERP-INTX,SHORT,-4.251,,2025-09-16T15:27:23Z,expired,235.25226,233.991,5.36,0.5361,-2.48,1.33,84757
2025-09-17T15:00:00Z,AVAX-PERP-INTX,SHORT,-33.531,,2025-09-16T15:14:26Z,expired,29.828432,29.522,10.27,1.0273,-2.17,1.45,85534
2025-09-17T17:00:00Z,SOL-PERP-INTX,SHORT,-4.17,,2025-09-16T17:34:39Z,expired,239.664,232.358,30.47,3.0484,-0.59,3.26,84321
2025-09-17T20:00:00Z,SOL-PERP-INTX,SHORT,-4.203,,2025-09-16T20:24:38Z,expired,237.926,238.073,-0.62,-0.0618,-3.27,2.55,84922
2025-09-17T22:00:00Z,SOL-PERP-INTX,SHORT,-4.236,,2025-09-17T08:27:50Z,stop_loss,236.046,243.59947,-32.0,-3.2,-5.04,1.77,48730
2025-09-17T22:00:00Z,AVAX-PERP-INTX,SHORT,-33.3,,2025-09-17T08:37:18Z,stop_loss,30.02188,30.98258,-31.99,-3.2,-11.01,2.08,48162
